Source,Target
Transportation - tyres,Transportation
Transportation - other,Transportation
Textile sector - Clothing,Textile sector
Textile sector - others,Textile sector
Consumer & Institutional products,Household & Leisure & Sports
Personal Care products,Household & Leisure & Sports
Electrical/Electronics,Electrical/Electronics
Road Marking,Others
Industrial/Machinery,Others
Marine Coatings,Others
Buildings & Construction,Buildings & Construction
Packaging,Packaging
Other,Others
Total,Total
